movie_id,studio_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,6
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,13
23,11
24,21
25,22
26,6
27,23
28,24
29,25
30,26
31,27
32,28
33,2
34,29
35,2
36,30
37,31
38,32
39,2
40,33
41,34
42,35
43,36
44,37
45,11
46,38
47,39
48,40
49,13
50,11
51,41
52,42
53,43
54,44
55,13
56,45
57,46
58,47
59,24
60,19
61,6
62,30
63,48
64,2
65,2
66,11
67,49
68,50
69,51
70,52
71,53
72,54
73,27
74,55
75,11
76,24
77,13
78,20
79,56
80,20
81,57
82,58
83,20
84,59
85,55
86,51
87,43
88,13
89,6
90,58
91,51
92,60
93,19
94,61
95,51
96,14
97,62
98,51
99,63
100,64
101,65
102,14
103,66
104,13
105,67
106,6
107,68
108,69
109,70
110,10
111,71
112,13
113,51
114,43
115,13
116,25
117,72
118,51
119,13
120,73
121,74
122,43
123,34
124,11
125,75
126,76
127,62
128,13
129,51
130,25
131,77
132,78
133,20
134,79
135,13
136,80
137,81
138,82
139,2
140,9
141,62
142,83
143,6
144,84
145,85
146,86
147,13
148,87
149,88
150,89
151,90
152,30
153,62
154,20
155,91
156,20
157,13
158,43
159,92
160,93
161,94
162,95
163,96
164,97
165,98
166,99
167,100
168,101
169,102
170,103
171,8
172,104
173,105
174,2
175,106
176,107
177,10
178,108
179,109
180,17
181,110
182,111
183,112
184,44
185,10
186,113
187,20
188,114
189,9
190,115
191,116
192,117
193,49
194,118
195,116
196,14
197,43
198,119
199,19
200,120
201,121
202,20
203,11
204,11
205,122
206,123
207,9
208,30
209,124
210,125
211,126
212,127
213,34
214,128
215,20
216,116
217,2
218,129
219,130
220,54
221,17
222,131
223,132
224,133
225,34
226,78
227,19
228,134
229,10
230,135
231,136
232,14
233,137
234,138
235,139
236,13
237,34
238,140
239,11
240,62
241,30
242,51
243,141
244,117
245,142
246,143
247,144
248,54
249,145
250,146
251,147
252,30
253,13
254,148
255,51
256,27
257,13
258,43
259,149
260,150
261,62
262,19
263,151
264,30
265,9
266,37
267,152
268,83
269,153
270,154
271,48
272,54
273,155
274,73
275,156
276,157
277,51
278,2
279,158
280,142
281,15
282,13
283,14
284,25
285,2
286,55
287,159
288,158
289,160
290,82
291,96
292,10
293,116
294,143
295,68
296,19
297,142
298,62
299,161
300,58
301,34
302,13
303,162
304,43
305,34
306,13
307,163
308,30
309,164
310,165
311,166
312,167
313,19
314,11
315,6
316,11
317,168
318,11
319,13
320,19
321,76
322,169
323,170
324,171
325,122
326,20
327,11
328,34
329,172
330,11
331,173
332,46
333,2
334,17
335,174
336,175
337,176
338,177
339,11
340,43
341,178
342,34
343,179
344,180
345,13
346,51
347,19
348,19
349,62
350,181
351,182
352,124
353,51
354,76
355,183
356,11
357,184
358,2
359,185
360,43
361,186
362,11
363,187
364,188
365,189
366,190
367,112
368,19
369,191
370,9
371,192
372,43
373,62
374,19
375,193
376,46
377,194
378,187
379,43
380,195
381,90
382,196
383,56
384,197
385,198
386,13
387,199
388,30
389,44
390,200
391,11
392,201
393,17
394,30
395,202
396,116
397,117
398,43
399,11
400,203
401,107
402,204
403,205
404,206
405,13
406,207
407,55
408,17
409,208
410,51
411,68
412,209
413,14
414,43
415,20
416,119
417,210
418,48
419,58
420,187
421,211
422,212
423,127
424,19
425,62
426,213
427,214
428,43
429,14
430,215
431,216
432,51
433,217
434,218
435,219
436,2
437,62
438,34
439,11
440,112
441,220
442,141
443,19
444,62
445,2
446,2
447,221
448,43
449,222
450,116
451,223
452,34
453,187
454,62
455,224
456,225
457,96
458,2
459,19
460,11
461,11
462,13
463,11
464,226
465,130
466,62
467,227
468,9
469,83
470,228
471,229
472,230
473,34
474,192
475,43
476,13
477,231
478,194
479,232
480,96
481,14
482,233
483,2
484,173
485,234
486,57
487,235
488,156
489,84
490,236
491,13
492,43
493,116
494,101
495,2
496,2
497,173
498,14
499,34
500,237
501,2
502,238
503,239
504,240
505,241
506,168
507,242
508,11
509,54
510,243
511,244
512,245
513,246
514,2
515,13
516,13
517,247
518,153
519,20
520,2
521,248
522,11
523,249
524,11
525,43
526,250
527,251
528,252
529,13
530,253
531,254
532,13
533,2
534,51
535,255
536,256
537,117
538,221
539,2
540,2
541,257
542,258
543,43
544,259
545,19
546,11
547,58
548,54
549,11
550,11
551,260
552,261
553,262
554,11
555,48
556,50
557,2
558,263
559,9
560,2
561,13
562,79
563,264
