movie_id,director_id
1,577
2,1892
3,1893
4,927
5,1647
6,1688
7,541
8,447
9,1248
10,1894
11,320
12,121
13,538
14,992
15,1312
16,1731
17,1895
18,1118
19,135
20,736
21,146
22,1771
23,76
24,1896
25,1897
26,121
27,1898
28,265
29,43
30,592
31,458
32,1531
33,1116
34,1877
35,504
36,803
37,1899
38,1353
39,1757
40,126
41,500
42,1642
43,262
44,1900
45,45
46,1554
47,1073
48,504
49,133
50,207
51,1481
52,1901
53,876
54,1562
55,470
56,135
57,1274
58,1902
59,133
60,1903
61,1904
62,803
63,444
64,862
65,384
66,45
67,467
68,575
69,134
70,260
71,1905
72,1906
73,331
74,1091
75,1907
76,133
77,260
78,852
79,3
80,1908
81,135
82,34
83,706
84,913
85,289
86,556
87,1909
88,1910
89,121
90,34
91,1911
92,6
93,1873
94,1912
95,1388
96,204
97,885
98,677
99,1158
100,126
101,1913
102,1914
103,262
104,89
105,422
106,963
107,1183
108,1653
109,699
110,69
111,1915
112,556
113,635
114,1916
115,1118
116,392
117,1539
118,289
119,635
120,77
121,1917
122,1918
123,500
124,69
125,1919
126,995
127,30
128,1920
129,1921
130,811
131,1922
132,43
133,175
134,1358
135,1487
136,575
137,60
138,1445
139,1923
140,1344
141,320
142,289
143,1774
144,1451
145,1146
146,1924
147,1607
148,1925
149,504
150,1435
151,1926
152,319
153,350
154,787
155,1153
156,175
157,52
158,409
159,857
160,1927
161,1577
162,931
163,204
164,1800
165,1037
166,1357
167,298
168,192
169,354
170,77
171,447
172,518
173,1131
174,1653
175,1435
176,82
177,135
178,298
179,1928
180,798
181,1929
182,1556
183,115
184,1930
185,135
186,1549
187,175
188,1487
189,1752
190,1931
191,568
192,664
193,467
194,30
195,568
196,1932
197,1752
198,1322
199,24
200,1415
201,24
202,392
203,69
204,207
205,769
206,609
207,464
208,1105
209,260
210,698
211,1933
212,92
213,1934
214,1846
215,852
216,568
217,927
218,1935
219,639
220,324
221,1531
222,1403
223,819
224,69
225,943
226,1429
227,1936
228,103
229,76
230,1937
231,1680
232,625
233,556
234,1938
235,1939
236,639
237,103
238,1940
239,1879
240,700
241,1102
242,289
243,1461
244,1423
245,1312
246,321
247,504
248,247
249,812
250,1941
251,632
252,963
253,1390
254,289
255,1369
256,331
257,1771
258,1516
259,1942
260,17
261,30
262,45
263,1177
264,1501
265,1718
266,1293
267,1508
268,289
269,1895
270,17
271,384
272,1417
273,1274
274,77
275,592
276,1211
277,1146
278,362
279,282
280,1002
281,1078
282,1435
283,392
284,309
285,1943
286,1131
287,1878
288,1683
289,2
290,1445
291,635
292,69
293,568
294,1390
295,710
296,1944
297,1312
298,1318
299,905
300,34
301,1208
302,1388
303,367
304,1752
305,348
306,992
307,1721
308,1945
309,63
310,1733
311,556
312,319
313,1358
314,1207
315,1946
316,175
317,571
318,505
319,885
320,1731
321,995
322,1372
323,436
324,973
325,1420
326,854
327,609
328,1947
329,853
330,609
331,1879
332,1712
333,365
334,1948
335,1010
336,346
337,369
338,575
339,251
340,1260
341,1633
342,1619
343,1536
344,134
345,133
346,975
347,916
348,1741
349,146
350,1949
351,1950
352,1951
353,346
354,1952
355,664
356,45
357,995
358,970
359,520
360,1953
361,436
362,571
363,813
364,2
365,505
366,1954
367,115
368,1857
369,83
370,1344
371,23
372,326
373,134
374,555
375,517
376,135
377,620
378,1080
379,1334
380,1090
381,1354
382,811
383,806
384,103
385,512
386,289
387,993
388,1945
389,815
390,346
391,852
392,1164
393,1955
394,1102
395,1791
396,1283
397,575
398,1857
399,332
400,2
401,260
402,234
403,1451
404,133
405,289
406,963
407,260
408,1956
409,69
410,1036
411,1463
412,1144
413,1404
414,1679
415,175
416,592
417,289
418,575
419,34
420,1159
421,124
422,639
423,92
424,1957
425,251
426,23
427,798
428,1807
429,1270
430,1837
431,392
432,815
433,460
434,1958
435,1164
436,365
437,251
438,444
439,609
440,115
441,288
442,362
443,392
444,45
445,1757
446,706
447,698
448,652
449,358
450,568
451,1959
452,1505
453,262
454,1451
455,896
456,1960
457,1223
458,862
459,146
460,93
461,69
462,458
463,1961
464,282
465,1404
466,319
467,1523
468,1248
469,1962
470,1752
471,1415
472,1963
473,500
474,23
475,1487
476,853
477,1438
478,620
479,1500
480,346
481,639
482,331
483,862
484,1879
485,1518
486,135
487,260
488,1964
489,896
490,320
491,1440
492,1965
493,568
494,1868
495,467
496,467
497,126
498,556
499,1661
500,578
501,706
502,192
503,1966
504,1967
505,1968
506,42
507,361
508,320
509,236
510,729
511,1307
512,414
513,556
514,1892
515,639
516,1037
517,785
518,30
519,445
520,192
521,1714
522,76
523,625
524,512
525,409
526,1428
527,2
528,331
529,298
530,1572
531,1302
532,578
533,993
534,1036
535,83
536,1354
537,414
538,617
539,1969
540,588
541,1124
542,126
543,1970
544,541
545,1942
546,251
547,34
548,1334
549,361
550,69
551,688
552,1093
553,881
554,194
555,24
556,575
557,1971
558,739
559,968
560,365
561,146
562,1774
563,1972
564,540
565,115
566,266
567,890
568,448
569,777
570,568
571,1973
572,118
573,1665
574,560
575,267
576,1974
577,121
578,1975
579,134
580,650
581,464
582,662
583,632
584,1885
585,118
586,1374
587,1344
588,609
589,811
590,1208
591,639
592,1135
593,1976
594,566
595,1977
596,504
597,575
598,458
599,1124
600,1124
601,392
602,1978
603,212
604,1541
605,346
606,323
607,118
608,135
609,1334
610,384
611,459
612,115
613,814
614,458
615,571
616,1979
617,524
618,57
619,762
620,1731
621,1980
622,556
623,1851
624,1895
625,530
626,998
627,448
628,1981
629,1214
630,560
631,262
632,77
633,60
634,592
635,1982
636,346
637,751
638,39
639,995
640,1048
641,1260
642,1164
643,1848
644,262
645,632
646,325
647,1415
648,1838
649,361
650,562
651,1078
652,1435
653,1302
654,555
655,1751
656,146
657,289
658,1040
659,1332
660,1870
661,1558
662,409
663,289
664,1389
665,464
666,1683
667,1168
668,69
669,422
670,1248
671,609
672,556
673,346
674,321
675,1140
676,609
677,667
678,449
679,1733
680,1426
681,578
682,63
683,1428
684,1895
685,90
686,745
687,1245
688,811
689,289
690,505
691,571
692,1487
693,950
694,444
695,1983
696,1984
697,1718
698,1985
699,282
700,1116
701,1248
702,1590
703,89
704,1892
705,471
706,1986
707,459
708,578
709,1987
710,1108
711,1725
712,1292
713,1007
714,1988
715,512
716,1139
717,520
718,1226
719,578
720,361
721,609
722,319
723,1989
724,1730
725,591
726,459
727,592
728,346
729,204
730,453
731,1124
732,69
733,967
734,1990
735,213
736,464
737,1714
738,578
739,384
740,592
741,592
742,1500
743,1070
744,1285
745,575
746,346
747,592
748,1204
749,1035
750,592
751,1463
752,578
753,459
754,118
755,512
756,1714
757,453
758,581
759,1462
760,1991
761,896
762,464
763,92
764,1058
765,434
766,1165
767,1390
768,617
769,146
770,1105
771,321
772,146
773,358
774,444
775,1572
776,459
777,1899
778,1942
779,146
780,620
781,571
782,467
783,175
784,1992
785,134
786,319
787,1993
788,1516
789,1229
790,146
791,575
792,99
793,1118
794,1866
795,115
796,335
797,42
798,1132
799,176
800,1563
801,309
802,575
803,1803
804,1791
805,45
